municipio,nome,partido,foto,url_perfil
João Pessoa,Ícaro Chaves,Podemos,https://joaopessoa.pb.leg.br/wp-content/uploads/2024/12/1e3db0958af81167fc14cfac49c732b2.jpg,https://joaopessoa.pb.leg.br/tag/icaro-chaves/
João Pessoa,Rômulo Dantas,Mobiliza,https://joaopessoa.pb.leg.br/wp-content/uploads/2024/12/7c865c5714f4122892687ef65f5e57a6.jpg,https://joaopessoa.pb.leg.br/tag/romulo-dantas/
João Pessoa,Toinho Pé de Aço,Republicanos,https://joaopessoa.pb.leg.br/wp-content/uploads/2024/12/c6132b62244fe8d54770b24e36f84f18.jpg,https://joaopessoa.pb.leg.br/tag/toinho/
João Pessoa,Dinho,MDB,https://joaopessoa.pb.leg.br/wp-content/uploads/2024/12/96166a4baf7dd1678e10c277e7ad78a4.jpg,https://joaopessoa.pb.leg.br/tag/dinho/
João Pessoa,Kleber Geraldo,PDT,https://joaopessoa.pb.leg.br/wp-content/uploads/2026/02/f9f768247a9ee853a88092a743990d4b.jpg,https://joaopessoa.pb.leg.br/tag/kleber-geraldo/
João Pessoa,Marcos Henriques,PT,https://joaopessoa.pb.leg.br/wp-content/uploads/2024/12/1de75deb044a67cb29a9c6b159ffd238.jpg,https://joaopessoa.pb.leg.br/tag/marcos-henriques/
João Pessoa,João Corujinha,PP,https://joaopessoa.pb.leg.br/wp-content/uploads/2024/12/7d9e1ce5af4e3ed47ca24f09f6e85157.jpg,https://joaopessoa.pb.leg.br/tag/joao-corujinha/
João Pessoa,Wamberto Ulysses,Republicanos,https://joaopessoa.pb.leg.br/wp-content/uploads/2025/03/31e2a4fe3385e5ada8e391cc6310a90a.jpg,sem_perfil
João Pessoa,Raoni Mendes,PSD,https://joaopessoa.pb.leg.br/wp-content/uploads/2025/03/525a26da802e79f0e65f2c221fb80667.jpg,sem_perfil
João Pessoa,Eliza Virgínia,PP,https://joaopessoa.pb.leg.br/wp-content/uploads/2024/12/6bfa3cca5e4a2585c945184f12babe3d.jpg,https://joaopessoa.pb.leg.br/tag/eliza-virginia/
João Pessoa,Mikika Leitão,Republicanos,https://joaopessoa.pb.leg.br/wp-content/uploads/2025/02/5d01637bc6694e6f8176ead3243c4703.jpg,https://joaopessoa.pb.leg.br/tag/mikika-leitao/
João Pessoa,Mô Lima,PP,https://joaopessoa.pb.leg.br/wp-content/uploads/2025/03/2dc49dc498bc41c99eb64e68a7c6e6b6.jpg,sem_perfil
João Pessoa,Marcos Bandeira,Avante,https://joaopessoa.pb.leg.br/wp-content/uploads/2024/12/a574ed0a9a6f801420de8dd3bb3825f8.jpg,https://joaopessoa.pb.leg.br/tag/marcos-bandeira/
Patos,Prefeitura Municipal De Patos,sem_partido,https://ui-avatars.com/api/?name=Prefeitura+Municipal+De+Patos,sem_perfil
Patos,Nadigerlane Rodrigues De Carvalho Almeid,sem_partido,https://ui-avatars.com/api/?name=Nadigerlane+Rodrigues+De+Carvalho+Almeid,sem_perfil
Patos,Nabor Wanderley Da Nobrega Filho,sem_partido,https://ui-avatars.com/api/?name=Nabor+Wanderley+Da+Nobrega+Filho,sem_perfil
Patos,Jose Italo Gomes Candido,sem_partido,https://ui-avatars.com/api/?name=Jose+Italo+Gomes+Candido,sem_perfil
Patos,Marilucia De Lira Souza,sem_partido,https://ui-avatars.com/api/?name=Marilucia+De+Lira+Souza,sem_perfil
Patos,Jonatas Kaiky De Oliveira Santana,sem_partido,https://ui-avatars.com/api/?name=Jonatas+Kaiky+De+Oliveira+Santana,sem_perfil
Patos,Rafael Gomes Dantas,sem_partido,https://ui-avatars.com/api/?name=Rafael+Gomes+Dantas,sem_perfil
Patos,Maria De Fatima Medeiros De Maria,sem_partido,https://ui-avatars.com/api/?name=Maria+De+Fatima+Medeiros+De+Maria,sem_perfil
Patos,Valtide Paulino Santos,sem_partido,https://ui-avatars.com/api/?name=Valtide+Paulino+Santos,sem_perfil
Patos,Josma Oliveira Da Nobrega,sem_partido,https://ui-avatars.com/api/?name=Josma+Oliveira+Da+Nobrega,sem_perfil
Patos,Marco Cesar Souza Siqueira,sem_partido,https://ui-avatars.com/api/?name=Marco+Cesar+Souza+Siqueira,sem_perfil
Patos,Brenna Victoria Leonardo Ferreira Nobreg,sem_partido,https://ui-avatars.com/api/?name=Brenna+Victoria+Leonardo+Ferreira+Nobreg,sem_perfil
Patos,Francisco Simões De Lucena,sem_partido,https://ui-avatars.com/api/?name=Francisco+Simões+De+Lucena,sem_perfil
Santa Rita,Epitácio Viturino dos Santos Sobrinho (Epitácio Viturino),PP,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/epitacio-scaled-rn13fx120oihe4e9ctfk4rn199kn2tft1glj5gaoxs.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/epitacio-viturino-dos-santos-sobrinho-epitacio-viturino/
Santa Rita,João Alves do Nascimento Junior (Dr. João Alves),PSDB,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/joao-scaled-rn13fu7jg6emfaicta7ofacnh3yjfq4m12n2pmevgg.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/joao-alves-do-nascimento-junior-dr-joao-alves/
Santa Rita,Josicleide da Silva Vicente (Cleidinha de Digão),PDT,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/josicleide-scaled-rn13fsbv2ic1s2l349efaatqac7t0bx5ctc3r2hnsw.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/josicleide-da-silva-vicente-cleidinha-de-digao/
Santa Rita,Alysson dos Santos Gomes (Alysson Gomes),REPUBLICANOS,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/alysson-1-scaled-rn13bk20bcjlj8q9tfkv2d921x2cdd4mrvng08rfsw.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/alysson-dos-santos-gomes-alysson-gomes/
Santa Rita,Clóvis Alves de Oliveira Filho (Clóvis de Loi),MDB,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/clovis-scaled-rn13fg3ylnvbl52u3m49vvwqkbw189kmz4usigzs1s.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/clovis-alves-de-oliveira-filho-clovis-de-loi/
Santa Rita,Severino Farias da França (Farias),PP,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/farias-scaled-rn13bpp1gcrbgwi2wi0mhbttm8ajnjr0snkcvwj2rk.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/severino-farias-da-franca-farias/
Santa Rita,Anderson de Lima Liberato (Anderson Liberato),MOBILIZA,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/anderson-scaled-rn13fkt5ju1r76w0c65eqcq1j98var3ans47wust6o.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/anderson-de-lima-liberato-anderson-liberato/
Santa Rita,David Santana dos Santos (David Santana),PARTIDO,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/david-1-scaled-rn13fh1sshwlwr1gy4iwgdo75prefyodb9i9zqydvk.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/david-santana-dos-santos-david-santana/
Santa Rita,Marinaldo da Silva dos Santos Dore (Marinaldo),PP,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/marinaldo-scaled-rn13bue8eixr2yb9521rbsn4l5ndq19ohatsaac3wg.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/marinaldo-da-silva-dos-santos-dore-marinaldo/
Santa Rita,Anésio Alves de Miranda Filho (Anésio Miranda),PP,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/anesio-scaled-rn13bkzui6kvuuownxzhmv0inaxpl28d40axhiq1mo.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/anesio-alves-de-miranda-filho-anesio-miranda/
Santa Rita,Lemoell Ludovico Santana de Andrade (Lemoel Ludovico),DC,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/lemoel-scaled-rn13gkj0rjengdg4jll8d3pk3wctf913gowo5dbum8.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/lemoell-ludovico-santana-de-andrade-lemoel-ludovico/
Santa Rita,"Brunno Inocêncio da Nobrega Silva (Bruno, o filho de Cicinha)",PP,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/bruno-scaled-rn13ggro079i5xll5jyq34npqcvckgm646aq89hfb4.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/brunno-inocencio-da-nobrega-silva-bruno-o-filho-de-cicinha/
Santa Rita,Francisco Morais de Queiroga (Francisco Queiroga),PP,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/queiroga-scaled-rn13bor79iq15ajg1zlzwu2d0uf6funagiwvemkgxs.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/francisco-morais-de-queiroga-francisco-queiroga/
Santa Rita,"Fagner Francelino dos Santos (Boquinha, filho de Walter Cruz)",PDT,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/fagner-scaled-rn13bvc2lcz1ek9vzkgdwael6jiqxqdetfh9rkapq8.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/fagner-francelino-dos-santos-boquinha-filho-de-walter-cruz/
Santa Rita,Otávio Cassiano de Souza Silva (Otávio Bernardino),PDT,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/otavio-scaled-rn13gc2h2132jvsewzxl8nuerfiihz3ifj1atvoe68.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/otavio-cassiano-de-souza-silva-otavio-bernardino/
Santa Rita,Tiane de Berg,PP,https://www.santarita.pb.leg.br/site/wp-content/uploads/elementor/thumbs/Tiane-de-Berg-DEM-rn13bkzui6kvuuownxzhmv0inaxpl28d40axhiq1mo.jpg,https://www.santarita.pb.leg.br/site/pt_vereadores/tiane-de-berg/
